BENCH,NR_WAYS,ipc,llcrpki,llcmpki,llcrpkc,llcmpkc,llc_usage_kb,bandwidth_mbps,llcm_bandwidth,stalls_l2_miss,stalls_l3_miss,stalls_total,stalls_store_buf
bzip200,6,1.929406,2.228661,0.054655,4.299994,0.105452,15599.230769,17.897094,13.454563,0.017865,0.00017,0.201542,0.004785
bzip200,7,1.927723,2.231721,0.052821,4.30214,0.101823,15701.153846,18.196432,12.991687,0.017838,0.000132,0.201795,0.00479
bzip200,8,1.929454,2.23465,0.052105,4.311653,0.100535,14771.153846,18.14315,12.827322,0.017845,0.000116,0.201514,0.004809
bzip200,9,1.928254,2.233797,0.052249,4.30733,0.100749,15917.692308,18.209106,12.853619,0.017862,0.000117,0.201848,0.004812
bzip206,1,1.526729,3.186787,1.164426,4.865362,1.777763,2225.284281,257.88049,226.793815,0.0477,0.031018,0.274814,0.013043
bzip206,10,1.582289,3.152184,0.044445,4.987665,0.070324,17271.170569,23.360405,8.97255,0.018251,0.000443,0.250934,0.012303
bzip206,11,1.582296,3.153824,0.044636,4.990285,0.070627,18076.521739,23.588809,9.011183,0.018247,0.000446,0.250918,0.012297
bzip206,2,1.576253,3.157011,0.141011,4.976249,0.222269,4153.846154,42.422818,28.35707,0.021144,0.003464,0.253561,0.012251
bzip206,3,1.579359,3.155573,0.120935,4.983784,0.191,6491.237458,42.705784,24.368265,0.019541,0.001758,0.252138,0.01229
bzip206,4,1.58094,3.153787,0.04776,4.985947,0.075506,8525.217391,23.528158,9.633421,0.018281,0.000462,0.251062,0.012273
bzip206,5,1.581447,3.151498,0.052406,4.983926,0.082877,10491.237458,24.085232,10.573916,0.018277,0.000479,0.251035,0.012288
bzip206,6,1.582408,3.150815,0.045293,4.985875,0.071673,11638.795987,23.133686,9.144442,0.01826,0.000451,0.250908,0.012302
bzip206,7,1.582195,3.154008,0.044617,4.990256,0.070592,12951.705686,23.521455,9.006058,0.018291,0.00045,0.25096,0.012305
bzip206,8,1.581384,3.158833,0.044458,4.995328,0.070305,14835.317726,23.552579,8.969998,0.018324,0.000445,0.250885,0.012322
bzip206,9,1.58212,3.149649,0.04431,4.983121,0.070103,16622.608696,23.39246,8.944328,0.018243,0.000443,0.250917,0.012298
cactusADM06,1,1.302065,5.340284,4.405039,6.953399,5.735649,2593.712375,735.759391,730.039436,0.146863,0.145103,0.292825,0.042024
cactusADM06,10,1.509093,5.350133,2.785222,8.073847,4.203159,24372.173913,550.993841,534.943006,0.033494,0.031289,0.191556,0.048939
cactusADM06,11,1.505793,5.351923,2.78982,8.058891,4.200892,25865.41806,549.831243,534.652365,0.032957,0.03064,0.190954,0.048893
cactusADM06,2,1.405854,5.355184,3.435731,7.528607,4.830136,5040,609.934655,614.800089,0.089354,0.087336,0.242179,0.045473
cactusADM06,3,1.474451,5.353768,3.022419,7.893866,4.456408,9004.147157,565.770934,567.199629,0.051143,0.049028,0.207622,0.047662
cactusADM06,4,1.504021,5.351081,2.843924,8.048138,4.277322,10966.688963,556.397695,544.386859,0.036293,0.034171,0.194076,0.048679
cactusADM06,5,1.508733,5.351824,2.813868,8.074476,4.245377,12969.899666,553.84469,540.319148,0.033549,0.031349,0.191624,0.048915
cactusADM06,6,1.507763,5.353804,2.810824,8.072269,4.238057,14756.923077,554.590789,539.372941,0.033752,0.031618,0.191891,0.048908
cactusADM06,7,1.498507,5.345099,2.805276,8.00967,4.203727,18345.953177,553.883698,535.033755,0.034407,0.031968,0.192092,0.048568
cactusADM06,8,1.504642,5.35471,2.796953,8.056923,4.208415,20645.083612,549.430718,535.614605,0.032971,0.030429,0.190956,0.048812
cactusADM06,9,1.507841,5.348992,2.791033,8.06543,4.208434,22031.839465,550.866619,535.613957,0.033637,0.031442,0.191701,0.048894
calculix06,1,2.082967,0.727341,0.470643,1.515028,0.980334,2526.555184,141.190146,124.699503,0.005026,0.004107,0.086213,0.001007
calculix06,10,2.090247,0.738592,0.141356,1.543839,0.295468,22286.287625,49.358931,37.584658,0.002627,0.001473,0.08334,0.000886
