BENCH,NR_WAYS,ipc,llcrpki,llcmpki,llcrpkc,llcmpkc,llc_usage_kb,bandwidth_mbps,llcm_bandwidth,stalls_l2_miss,stalls_l3_miss,stalls_total,stalls_store_buf
dealII06,2,2.300103,2.384949,1.392589,5.485629,3.203099,4759.598662,436.401118,406.12372,0.022225,0.018592,0.147644,0.005067
dealII06,3,2.305981,2.383862,1.196413,5.497141,2.758906,7023.946488,376.803817,349.797124,0.02064,0.016839,0.146107,0.005084
dealII06,4,2.310382,2.380487,1.042233,5.499834,2.407957,9658.060201,323.798521,305.317339,0.019209,0.015298,0.144694,0.005074
dealII06,5,2.311273,2.378879,0.900871,5.498239,2.082159,11928.294314,290.754217,264.006803,0.018127,0.014019,0.143834,0.005086
dealII06,6,2.313899,2.379398,0.798393,5.505689,1.847402,14144.214047,257.6606,234.263975,0.017312,0.013138,0.143223,0.005085
dealII06,7,2.318116,2.375655,0.678543,5.507044,1.572941,16158.662207,221.969668,199.44981,0.016728,0.01242,0.141888,0.005112
dealII06,8,2.319998,2.381897,0.591014,5.525996,1.371151,17919.197324,200.96527,173.860696,0.016271,0.011882,0.141394,0.005111
dealII06,9,2.308452,2.389617,0.519835,5.516317,1.200013,20189.16388,171.608358,152.165296,0.015591,0.01122,0.143262,0.005014
gamess06,1,3.067955,0.004515,0.001211,0.013852,0.003716,2325.886288,0.957652,0.473696,8E-06,7E-06,0.037138,0.000755
gamess06,10,3.063744,0.004171,0.000291,0.012779,0.000891,6765.752508,0.25104,0.113666,3E-06,1E-06,0.037382,0.000724
gamess06,11,3.065063,0.0044,0.000307,0.013487,0.000942,6456.187291,0.247799,0.120253,3E-06,2E-06,0.037503,0.000747
gamess06,2,3.06431,0.004342,0.000778,0.013304,0.002385,2955.183946,0.64613,0.304359,5E-06,3E-06,0.037504,0.000835
gamess06,3,3.066545,0.004977,0.000546,0.015264,0.001674,3904.214047,0.365178,0.213597,5E-06,2E-06,0.037471,0.000694
gamess06,4,3.064698,0.004429,0.000362,0.013572,0.001108,5374.715719,0.388397,0.141401,3E-06,2E-06,0.037222,0.000772
gamess06,5,3.068373,0.004213,0.000344,0.012927,0.001056,7052.040134,0.368749,0.134727,3E-06,2E-06,0.037114,0.000756
gamess06,6,3.064851,0.004648,0.000315,0.014247,0.000966,5560.133779,0.314751,0.123276,3E-06,1E-06,0.038436,0.000666
gamess06,7,3.06666,0.004596,0.000322,0.014094,0.000986,5092.976589,0.388645,0.125846,4E-06,2E-06,0.037174,0.00073
gamess06,8,3.06261,0.004939,0.000311,0.015127,0.000954,6136.989967,0.394821,0.121677,3E-06,1E-06,0.037578,0.000713
gamess06,9,3.062649,0.004179,0.000281,0.012799,0.00086,6406.153846,0.240913,0.109731,3E-06,1E-06,0.037256,0.000765
gcc06,1,1.225567,19.214395,14.701594,23.548525,18.017786,2712.992701,2270.235133,2281.329407,0.389012,0.323477,0.49684,0.064293
gcc06,10,1.692411,19.041768,2.147171,32.226489,3.633895,24258.686131,480.838353,458.96677,0.171644,0.038171,0.314871,0.085713
gcc06,11,1.690918,19.04704,1.846509,32.206983,3.122295,25910.656934,454.893527,394.354158,0.165703,0.032257,0.310609,0.08523
gcc06,2,1.342102,19.196719,11.425396,25.763952,15.334045,5017.226277,1798.751226,1940.353719,0.334449,0.257756,0.450865,0.069428
gcc06,3,1.436187,19.15023,9.051145,27.503306,12.999135,8169.927007,1446.380631,1644.132847,0.290119,0.201511,0.414276,0.074246
gcc06,4,1.50183,19.105021,7.283684,28.6925,10.938857,10351.532847,1157.075407,1382.971708,0.256781,0.158356,0.386097,0.076967
gcc06,5,1.561973,19.090507,5.718583,29.818853,8.932272,12705.985401,1001.828319,1128.911315,0.230633,0.121695,0.364769,0.080745
gcc06,6,1.591372,19.082196,4.553408,30.366867,7.246164,15176.642336,853.074888,915.898506,0.207588,0.091603,0.347622,0.082236
gcc06,7,1.613589,19.097139,3.720918,30.814936,6.004033,17216.350365,752.315409,758.602412,0.194018,0.073039,0.335722,0.081915
gcc06,8,1.62215,19.104938,2.99739,30.991068,4.862215,19587.737226,609.503347,614.414697,0.180485,0.056305,0.325044,0.08185
gcc06,9,1.671069,19.026998,2.482371,31.795421,4.148213,22004.671533,525.39139,524.04099,0.175653,0.045303,0.319601,0.085072
GemsFDTD06,1,1.769995,14.055042,12.948441,24.877351,22.918672,2596.923077,2996.473895,2909.0386,0.269555,0.257447,0.308507,0.000127
GemsFDTD06,10,1.827109,14.06291,11.794128,25.694471,21.54916,24884.548495,2817.140989,2735.514423,0.249791,0.235497,0.288029,0.00013
GemsFDTD06,11,1.829711,14.058285,11.755351,25.722594,21.508891,26792.508361,2856.773299,2730.343871,0.247402,0.233029,0.286222,0.000132
GemsFDTD06,2,1.773588,14.028972,12.510451,24.881621,22.188389,5313.444816,2924.066196,2816.560003,0.267459,0.255095,0.306207,0.000126
GemsFDTD06,3,1.781279,14.057713,12.279439,25.040703,21.873102,7576.989967,2900.661748,2776.574141,0.26593,0.253328,0.304204,0.000123
GemsFDTD06,4,1.780274,14.08231,12.052192,25.070365,21.456198,10088.829431,2836.70573,2723.707241,0.263605,0.250743,0.301566,0.000126
GemsFDTD06,5,1.791152,14.06029,12.051248,25.184124,21.585622,12944.749164,2857.730195,2740.120632,0.262531,0.249207,0.301002,0.000127
GemsFDTD06,6,1.806397,14.06348,11.987766,25.404228,21.654666,15098.862876,2907.243598,2748.835122,0.25635,0.242961,0.294088,0.000128
GemsFDTD06,7,1.797052,14.057843,11.943154,25.26268,21.462473,17583.143813,2832.924717,2724.486429,0.260556,0.247149,0.298652,0.000126
GemsFDTD06,8,1.78779,14.059808,11.818131,25.135981,21.128333,20056.454849,2808.992758,2682.30078,0.261938,0.247962,0.299812,0.000125
GemsFDTD06,9,1.818351,14.099789,11.685076,25.63836,21.247564,22479.197324,2786.183452,2697.270823,0.252285,0.238162,0.290545,0.000129
gobmk06,1,1.293806,0.95695,0.577326,1.238107,0.746947,2458.060201,104.275645,95.26716,0.025239,0.021523,0.317813,0.007567
gobmk06,10,1.322191,0.965905,0.081564,1.277111,0.107843,20566.688963,14.962513,13.755945,0.005739,0.001605,0.303771,0.00662
gobmk06,11,1.322696,0.958444,0.068645,1.267729,0.090797,23592.508361,12.197783,11.581752,0.005558,0.001432,0.303595,0.006516
gobmk06,2,1.301117,1.050526,0.463561,1.366857,0.603147,4802.408027,77.235636,76.935123,0.020456,0.016202,0.314319,0.007515
gobmk06,3,1.306952,0.969846,0.383981,1.267543,0.501845,7543.010033,56.98891,64.012508,0.016132,0.012306,0.311316,0.007359
gobmk06,4,1.311618,0.966789,0.321816,1.268058,0.4221,9849.09699,56.081701,53.840118,0.013242,0.009293,0.309163,0.007184
gobmk06,5,1.313697,0.994029,0.268392,1.305853,0.352586,11952.64214,44.516078,44.974264,0.011078,0.006983,0.307588,0.007151
gobmk06,6,1.317682,0.955741,0.21843,1.259363,0.287821,14567.22408,39.362885,36.713512,0.009173,0.00521,0.306274,0.006904
